company_key,company,from_year,to_year,city,state,country,provenance,basis,note
batus,BATUS,1982,1982,Louisville,Kentucky,United States,gemini_r2,confirmed,"round 2; article: Louisville, KYConfirmed. BATUS Inc. (U.S. holding company for BAT) was"
mediaone group,"MediaOne Group, Inc.",1995,2000,Englewood,Colorado,United States,gemini_r2,confirmed,"round 2; article: MediaOne was based at 188 Inverness Dr West in Englewood, CO.MediaOne "
cvs,CVS,1955,1964,Worcester,Massachusetts,United States,gemini_r2,confirmed,"round 2; article: Harrison, NYConfirmed. CVS parent Melville Corporation was based in Wo"
cvs,CVS,1965,1995,Harrison,New York,United States,gemini_r2,confirmed,"round 2; article: Harrison, NYConfirmed. CVS parent Melville Corporation was based in Wo"
wellpoint health networks,"WellPoint Health Networks, Inc.",1996,2004,Thousand Oaks,California,United States,gemini_r2,wrong_target_fixed,"round 2; article: Thousand Oaks, CAConfirmed (Wrong Target Fixed). WellPoint Health Netw"
amf,AMF,1955,1970,New York,New York,United States,gemini_r2,confirmed,"round 2; article: White Plains, NYConfirmed. American Machine and Foundry moved from Mad"
amf,AMF,1971,1985,White Plains,New York,United States,gemini_r2,confirmed,"round 2; article: White Plains, NYConfirmed. American Machine and Foundry moved from Mad"
crane,Crane,1955,1967,Chicago,Illinois,United States,gemini_r2,confirmed,"round 2; article: Stamford, CTConfirmed. Crane Co. moved from Chicago to NYC (300 Park A"
crane,Crane,1968,1984,New York,New York,United States,gemini_r2,confirmed,"round 2; article: Stamford, CTConfirmed. Crane Co. moved from Chicago to NYC (300 Park A"
crane,Crane,1985,1994,Stamford,Connecticut,United States,gemini_r2,confirmed,"round 2; article: Stamford, CTConfirmed. Crane Co. moved from Chicago to NYC (300 Park A"
federal home loan mortgage,Federal Home Loan Mortgage Corp.,1996,1998,McLean,Virginia,United States,gemini_r2,wrong_target_fixed,"round 2; article: McLean, VAConfirmed (Wrong Target Fixed). Freddie Mac was headquartere"
triangle industries,Triangle Industries,1969,1982,Holmdel,New Jersey,United States,gemini_r2,wrong_target_fixed,"round 2; article: New Brunswick, NJ before Nelson Peltz acquired control and moved execu"
triangle industries,Triangle Industries,1983,1989,New York,New York,United States,gemini_r2,wrong_target_fixed,"round 2; article: New Brunswick, NJ before Nelson Peltz acquired control and moved execu"
white motor,White Motor,1955,1972,Cleveland,Ohio,United States,gemini_r2,confirmed,"round 2; article: Eastlake, OHConfirmed. White Motor moved from its historic Cleveland p"
white motor,White Motor,1973,1981,Eastlake,Ohio,United States,gemini_r2,confirmed,"round 2; article: Eastlake, OHConfirmed. White Motor moved from its historic Cleveland p"
bergen brunswig,Bergen Brunswig Corporation,1995,2001,Orange,California,United States,gemini_r2,wrong_target_fixed,"round 2; article: Orange, CAConfirmed (Wrong Target Fixed). Bergen Brunswig was headquar"
shell oil,,1955,1970,New York,New York,United States,gemini_r1,certain,Shell Oil Company US headquarters was located in New York (50 W 50th St) until 1970.
shell oil,,1971,1994,Houston,Texas,United States,gemini_r1,certain,Relocated headquarters to One Shell Plaza in Houston in 1970-1971; listed through 1994.
fortune brands,,1955,1987,New York,New York,United States,gemini_r1,certain,American Tobacco Co. / American Brands was based at 245 Park Ave in NYC until 1988.
fortune brands,,1988,1995,Old Greenwich,Connecticut,United States,gemini_r1,certain,American Brands moved corporate headquarters to Old Greenwich in 1987-1988 (renamed Fortune Brands in 1997).
mcdonnell douglas,,1955,1997,St. Louis,Missouri,United States,gemini_r1,certain,McDonnell Aircraft (merged with Douglas in 1967) was headquartered adjacent to Lambert Field in St. Louis/Berkeley.
itt industries,,1956,1997,New York,New York,United States,gemini_r1,certain,ITT was headquartered at 320 Park Ave / 1330 Ave of Americas in NYC until the 1997 split.
itt industries,,1998,2006,White Plains,New York,United States,gemini_r1,certain,ITT Industries operated from White Plains until moving to Stamford in 2007.
unocal,,1955,1995,Los Angeles,California,United States,gemini_r1,certain,Union Oil Company of California (Unocal) was based at Union Oil Center in downtown Los Angeles.
unocal,,1996,2005,El Segundo,California,United States,gemini_r1,certain,Unocal moved its corporate headquarters to El Segundo in 1996 until acquired by Chevron in 2005.
sperry,,1955,1986,New York,New York,United States,gemini_r1,certain,Sperry Rand / Sperry Corporation was headquartered at 1290 Avenue of the Americas in NYC until the 1986 Unisys merger.
armco,,1955,1994,Middletown,Ohio,United States,gemini_r1,certain,"American Rolling Mill Co. (Armco) was headquartered in Middletown, Ohio."
armco,,1995,1999,Pittsburgh,Pennsylvania,United States,gemini_r1,certain,Armco relocated executive offices to Pittsburgh in the mid-1990s prior to the 1999 AK Steel merger.
firestone tire and rubber,,1955,1986,Akron,Ohio,United States,gemini_r1,certain,"Firestone Tire & Rubber was headquartered in Akron, Ohio until moving to Chicago."
firestone tire and rubber,,1987,1988,Chicago,Illinois,United States,gemini_r1,certain,Firestone moved its executive offices to Chicago in 1987 shortly before being acquired by Bridgestone.
gulf oil,,1955,1984,Pittsburgh,Pennsylvania,United States,gemini_r1,certain,Gulf Oil was headquartered at the Gulf Tower in Pittsburgh until acquired by Chevron in 1984.
conoco,,1955,1969,Houston,Texas,United States,gemini_r1,certain,Continental Oil Co. (Conoco) had executive headquarters in Houston/Ponca City during this period.
conoco,,1970,1985,Stamford,Connecticut,United States,gemini_r1,certain,"Conoco relocated its corporate headquarters to Stamford, Connecticut in 1969-1970."
conoco,,1986,2002,Houston,Texas,United States,gemini_r1,certain,"Under DuPont ownership and post-spinoff, Conoco was headquartered in Houston until the 2002 Phillips merger."
litton industries,,1959,2001,Beverly Hills,California,United States,gemini_r1,certain,"Litton Industries was continuously headquartered in Beverly Hills, California until acquired by Northrop Grumman."
raytheon,,1955,1995,Lexington,Massachusetts,United States,gemini_r1,certain,"Raytheon was headquartered in Waltham/Lexington, MA (141 Spring St, Lexington from 1961) across this era."
american can,,1955,1969,New York,New York,United States,gemini_r1,certain,American Can Company was based at 100 Park Avenue in New York.
american can,,1970,1986,Greenwich,Connecticut,United States,gemini_r1,certain,"Moved to a suburban campus in Greenwich, CT in 1970; later transformed into Primerica."
u s steel,,1955,1982,Pittsburgh,Pennsylvania,United States,gemini_r1,certain,U.S. Steel maintained primary executive offices at 525 William Penn Place and the U.S. Steel Tower in Pittsburgh.
rca,,1955,1982,New York,New York,United States,gemini_r1,certain,Radio Corporation of America (RCA) was headquartered at 30 Rockefeller Plaza in New York.
republic steel,,1955,1984,Cleveland,Ohio,United States,gemini_r1,certain,Republic Steel was headquartered in Cleveland (Republic Building) until merging into LTV Steel in 1984.
trw,,1955,1984,Euclid,Ohio,United States,gemini_r1,certain,"Thompson Products / TRW was based in Euclid/Cleveland, Ohio."
trw,,1985,2002,Lyndhurst,Ohio,United States,gemini_r1,certain,"TRW moved to its corporate campus in Lyndhurst, Ohio in 1985 until acquired by Northrop Grumman."
owens illinois,,1955,1995,Toledo,Ohio,United States,gemini_r1,certain,"Owens-Illinois was continuously headquartered in Toledo, Ohio (One SeaGate from 1982) across this span."
xerox,,1963,1968,Rochester,New York,United States,gemini_r1,certain,"Haloid Xerox / Xerox was headquartered in Rochester, NY until moving corporate offices to Connecticut."
xerox,,1969,1995,Stamford,Connecticut,United States,gemini_r1,certain,"Relocated corporate headquarters to Stamford, CT in 1969 (Long Ridge Rd); clipped to 1995."
ltv,,1955,1992,Dallas,Texas,United States,gemini_r1,certain,"Ling-Temco-Vought / LTV Corporation was headquartered in Dallas, Texas (LTV Tower)."
ltv,,1993,2002,Cleveland,Ohio,United States,gemini_r1,certain,"Following Chapter 11 reorganization and focus on LTV Steel, headquarters moved to Cleveland in 1993."
champion international,,1955,1966,Hamilton,Ohio,United States,gemini_r1,certain,"Champion Paper & Fibre was based in Hamilton, Ohio prior to the 1967 merger with U.S. Plywood."
champion international,,1967,1976,New York,New York,United States,gemini_r1,certain,U.S. Plywood-Champion Papers was based at 777 Third Avenue in New York.
champion international,,1977,2000,Stamford,Connecticut,United States,gemini_r1,certain,"Champion International moved headquarters to Stamford, CT in 1977 until acquired by International Paper."
amerada hess,,1955,2006,New York,New York,United States,gemini_r1,certain,Amerada Hess (formed 1969; Hess Oil previously in NJ/Amerada in NYC) was based at 1185 Ave of the Americas in NYC.
burlington industries equity,,1955,1994,Greensboro,North Carolina,United States,gemini_r1,certain,"Burlington Mills / Burlington Industries was continuously headquartered in Greensboro, North Carolina."
campbell soup,,1955,1995,Camden,New Jersey,United States,gemini_r1,certain,"Campbell Soup Company was continuously headquartered in Camden, New Jersey."
american cyanamid,,1955,1961,New York,New York,United States,gemini_r1,certain,American Cyanamid was based at 30 Rockefeller Plaza in New York.
american cyanamid,,1962,1994,Wayne,New Jersey,United States,gemini_r1,certain,"American Cyanamid moved to its corporate campus in Wayne, NJ in 1962 until acquired by AHP in 1994."
reynolds metals,,1955,1957,Louisville,Kentucky,United States,gemini_r1,certain,"Reynolds Metals was based in Louisville, Kentucky before completing its Richmond move."
reynolds metals,,1958,2000,Richmond,Virginia,United States,gemini_r1,certain,"Reynolds Metals opened and occupied its landmark headquarters in Henrico County/Richmond, VA until acquired by Alcoa in 2000."
sinclair oil,,1955,1969,New York,New York,United States,gemini_r1,certain,Sinclair Oil Corporation was headquartered at 600 Fifth Avenue in NYC until merging into Atlantic Richfield in 1969.
getty oil,,1968,1984,Los Angeles,California,United States,gemini_r1,certain,Getty Oil Company was headquartered at the Getty Oil Building (3810 Wilshire Blvd) in Los Angeles until acquired by Texaco.
digital equipment,,1974,1998,Maynard,Massachusetts,United States,gemini_r1,certain,"Digital Equipment Corporation (DEC) was headquartered in Maynard, MA (The Mill) until acquired by Compaq in 1998."
anheuser busch,,1955,1995,St. Louis,Missouri,United States,gemini_r1,certain,"Anheuser-Busch was continuously headquartered at One Busch Place in St. Louis, Missouri."
jones and laughlin steel,,1955,1968,Pittsburgh,Pennsylvania,United States,gemini_r1,certain,"Jones & Laughlin Steel Corporation was headquartered in Pittsburgh, PA (Gateway Center) until acquired by LTV."
general telephone and electronics,,1960,1972,New York,New York,United States,gemini_r1,certain,General Telephone & Electronics (GTE) was headquartered at 730 Third Avenue in New York.
general telephone and electronics,,1973,1974,Stamford,Connecticut,United States,gemini_r1,certain,GTE moved to its landmark One Stamford Forum headquarters in 1973; clipped to 1974 listed span.
hewlett packard,,1962,1995,Palo Alto,California,United States,gemini_r1,certain,"Hewlett-Packard was headquartered on Hanover Street / Page Mill Road in Palo Alto, California."
douglas aircraft,,1955,1967,Santa Monica,California,United States,gemini_r1,certain,"Douglas Aircraft was headquartered at Clover Field in Santa Monica, CA until the 1967 McDonnell merger."
greyhound,,1971,1971,Chicago,Illinois,United States,gemini_r1,certain,Greyhound Corporation was based in Chicago before completing its relocation to Arizona in 1971.
greyhound,,1972,1983,Phoenix,Arizona,United States,gemini_r1,certain,Greyhound Corporation moved its global corporate headquarters to Greyhound Tower in Phoenix in 1971.
youngstown sheet and tube,,1955,1969,Youngstown,Ohio,United States,gemini_r1,certain,"Youngstown Sheet and Tube Company was headquartered in Youngstown, Ohio (Stambaugh Building) until Lykes acquisition in 1969."
bellsouth,,1995,2006,Atlanta,Georgia,United States,gemini_r1,certain,"BellSouth Corporation was headquartered in Atlanta, Georgia (BellSouth Center) until acquired by AT&T in 2006."
crown zellerbach,,1955,1986,San Francisco,California,United States,gemini_r1,certain,Crown Zellerbach was headquartered at One Bush Street in San Francisco until Sir James Goldsmith's takeover in 1985-1986.
warner lambert,,1955,2000,Morris Plains,New Jersey,United States,gemini_r1,certain,"Warner-Lambert was headquartered at Tabor Road in Morris Plains, NJ until acquired by Pfizer in 2000."
sears roebuck and,,1996,2005,Hoffman Estates,Illinois,United States,gemini_r1,certain,"Sears moved from Sears Tower to Hoffman Estates, IL in 1992-1995; clipped to 1996-2005 listed span."
pure oil,,1955,1959,Chicago,Illinois,United States,gemini_r1,certain,The Pure Oil Company was headquartered at the Pure Oil Building (35 E Wacker Dr) in Chicago.
pure oil,,1960,1965,Palatine,Illinois,United States,gemini_r1,certain,"Pure Oil moved to a new suburban headquarters in Palatine, IL in 1960 until merging into Union Oil in 1965."
compaq computer,,1986,2002,Houston,Texas,United States,gemini_r1,certain,"Compaq Computer Corporation was continuously headquartered on State Highway 249 in Houston (Harris County), TX."
philip morris companies,,1996,2002,New York,New York,United States,gemini_r1,certain,Philip Morris Companies Inc. (renamed Altria) was headquartered at 120 Park Avenue in NYC (moved to Richmond in 2003).
pillsbury,,1955,1989,Minneapolis,Minnesota,United States,gemini_r1,certain,The Pillsbury Company was headquartered at Pillsbury Center in Minneapolis until acquired by Grand Metropolitan in 1989.
standard brands,,1955,1981,New York,New York,United States,gemini_r1,certain,Standard Brands was headquartered at 625 Madison Avenue in New York until merging with Nabisco in 1981.
dresser industries,,1955,1998,Dallas,Texas,United States,gemini_r1,certain,"Dresser Industries was headquartered in Dallas, Texas (Republic National Bank / Elm St) until merging with Halliburton in 1998."
quaker oats,,1955,2001,Chicago,Illinois,United States,gemini_r1,certain,The Quaker Oats Company was headquartered in Chicago (Merchandise Mart / Quaker Tower) until acquired by PepsiCo in 2001.
enron,,1995,2002,Houston,Texas,United States,gemini_r1,certain,"Enron Corporation was headquartered at 1400 Smith Street in Houston, Texas throughout this span until bankruptcy."
prudential insurance of america,,1996,2001,Newark,New Jersey,United States,gemini_r1,certain,"Prudential Insurance Company of America was headquartered at Prudential Plaza in Newark, New Jersey."
usx,,1996,2001,Pittsburgh,Pennsylvania,United States,gemini_r1,certain,"USX Corporation (parent of U.S. Steel and Marathon Oil) was headquartered at the USX Tower in Pittsburgh, PA."
farmland industries,,1958,2004,Kansas City,Missouri,United States,gemini_r1,certain,"Farmland Industries (agricultural cooperative) was headquartered in Kansas City, Missouri throughout this span."
chase manhattan,,1995,2000,New York,New York,United States,gemini_r1,certain,Chase Manhattan Corporation (merged with Chemical Bank in 1996) was headquartered at 270 Park Ave in NYC.
bell atlantic,,1996,1996,Philadelphia,Pennsylvania,United States,gemini_r1,certain,Bell Atlantic was headquartered at 1717 Arch Street in Philadelphia prior to merging with NYNEX.
bell atlantic,,1997,2000,New York,New York,United States,gemini_r1,certain,"Following the 1997 NYNEX merger, Bell Atlantic established executive headquarters at 1095 Ave of the Americas in NYC."
american stores,,1995,1999,Salt Lake City,Utah,United States,gemini_r1,certain,American Stores Company was headquartered at American Stores Tower in Salt Lake City until acquired by Albertsons in 1999.
apple computer,,1983,1995,Cupertino,California,United States,gemini_r1,certain,"Apple Computer was continuously headquartered on Bandley Drive and Infinite Loop in Cupertino, California."
grumman,,1955,1994,Bethpage,New York,United States,gemini_r1,certain,"Grumman Aircraft Engineering Corp. was headquartered in Bethpage (Long Island), NY until Northrop acquisition in 1994."
phillips petroleum,,1996,2002,Bartlesville,Oklahoma,United States,gemini_r1,certain,"Phillips Petroleum Company was headquartered in Bartlesville, Oklahoma until the 2002 ConocoPhillips merger."
ameritech,,1995,1999,Chicago,Illinois,United States,gemini_r1,certain,"Ameritech Corporation was headquartered at 30 S Wacker Drive in Chicago, Illinois until acquired by SBC in 1999."
citicorp,,1995,1998,New York,New York,United States,gemini_r1,certain,Citicorp was headquartered at Citicorp Center (399 Park Avenue) in New York until merging into Citigroup in 1998.
ibp,,1993,2001,Dakota Dunes,South Dakota,United States,gemini_r1,certain,"IBP, Inc. was headquartered in Dakota Dunes, South Dakota from 1990 until acquired by Tyson Foods in 2001."
first union,,1996,2001,Charlotte,North Carolina,United States,gemini_r1,certain,"First Union Corporation was headquartered at One First Union Center in Charlotte, NC until the Wachovia merger in 2001."
mci communications,,1995,1998,Washington,District of Columbia,United States,gemini_r1,certain,"MCI Communications Corporation was headquartered at 1801 Pennsylvania Ave NW in Washington, D.C."
rjr nabisco holdings,,1996,1999,New York,New York,United States,gemini_r1,certain,RJR Nabisco Holdings Corp. was headquartered at 1301 Avenue of the Americas in New York.
alliedsignal,,1996,1999,Morristown,New Jersey,United States,gemini_r1,certain,"AlliedSignal Inc. was headquartered at Columbia Road in Morris Township/Morristown, NJ until acquiring Honeywell in 1999."
travelers group,,1996,1998,New York,New York,United States,gemini_r1,certain,"Travelers Group (Sandy Weill's financial services firm, formerly Primerica) was based at 388 Greenwich St in NYC."
minnesota mining and manufacturing,,1996,2002,Maplewood,Minnesota,United States,gemini_r1,certain,"Minnesota Mining and Manufacturing (3M) was headquartered at 3M Center in Maplewood/St. Paul, MN (renamed 3M in 2002)."
nynex,,1995,1997,New York,New York,United States,gemini_r1,certain,NYNEX Corporation was headquartered at 1095 Avenue of the Americas in New York until merging with Bell Atlantic.
control data,,1965,1991,Bloomington,Minnesota,United States,gemini_r1,certain,"Control Data Corporation (CDC) was headquartered at 8100 34th Ave S in Bloomington (Minneapolis metro), MN."
american home products,,1996,2001,Madison,New Jersey,United States,gemini_r1,certain,"American Home Products (renamed Wyeth in 2002) was headquartered at 5 Giralda Farms in Madison, NJ."
stone container,,1983,1998,Chicago,Illinois,United States,gemini_r1,certain,Stone Container Corporation was headquartered at 150 N Michigan Ave in Chicago until merging into Smurfit-Stone in 1998.
mci worldcom,,1995,1997,Jackson,Mississippi,United States,gemini_r1,certain,"LDDS / WorldCom was headquartered in downtown Jackson, Mississippi."
mci worldcom,,1998,2000,Clinton,Mississippi,United States,gemini_r1,certain,"Following the MCI merger, MCI WorldCom opened and occupied its corporate campus in Clinton, Mississippi."
aol time warner,,2002,2003,New York,New York,United States,gemini_r1,certain,AOL Time Warner Inc. was headquartered at 75 Rockefeller Plaza (Time Warner Center) in New York.
worldcom,,1996,1997,Jackson,Mississippi,United States,gemini_r1,certain,"WorldCom, Inc. was headquartered in Jackson, Mississippi prior to campus completion."
worldcom,,1998,2002,Clinton,Mississippi,United States,gemini_r1,certain,"WorldCom, Inc. was headquartered in Clinton, Mississippi until filing for Chapter 11 bankruptcy in 2002."
utilicorp united,,1996,2001,Kansas City,Missouri,United States,gemini_r1,certain,"UtiliCorp United Inc. (renamed Aquila, Inc. in 2002) was headquartered at 1810 Main Street in Kansas City, MO."
republic aviation,,1955,1965,Farmingdale,New York,United States,gemini_r1,certain,"Republic Aviation Corporation was headquartered at Republic Field in Farmingdale (Long Island), NY until Fairchild acquisition in 1965."
rockwell international,,1996,1998,Seal Beach,California,United States,gemini_r1,certain,"Rockwell International was headquartered in Seal Beach/Costa Mesa, California."
rockwell international,,1999,2001,Milwaukee,Wisconsin,United States,gemini_r1,certain,"Rockwell relocated corporate headquarters to Milwaukee, Wisconsin in 1999 (renamed Rockwell Automation in 2002)."
teledyne,,1967,1995,Los Angeles,California,United States,gemini_r1,certain,"Teledyne, Inc. was headquartered at 1901 Avenue of the Stars (Century City) in Los Angeles, California."
philco,,1955,1962,Philadelphia,Pennsylvania,United States,gemini_r1,certain,Philco Corporation was headquartered at Tioga and C Streets in Philadelphia until acquired by Ford Motor Co. in 1961-1962.
merritt chapman and scott,,1956,1965,New York,New York,United States,gemini_r1,certain,Merritt-Chapman & Scott (construction conglomerate led by Louis Wolfson) was headquartered at 261 Madison Ave in NYC.
wal mart stores,,1995,1995,Bentonville,Arkansas,United States,gemini_r1,certain,"Wal-Mart Stores, Inc. was headquartered at 702 SW 8th Street in Bentonville, Arkansas."
state farm group,,1996,1996,Bloomington,Illinois,United States,gemini_r1,certain,"State Farm Mutual Automobile Insurance Company was headquartered at One State Farm Plaza in Bloomington, Illinois."
state farm insurance cos,,1995,1995,Bloomington,Illinois,United States,gemini_r1,certain,"State Farm Insurance Companies was headquartered at One State Farm Plaza in Bloomington, Illinois."
american intl group,,1995,1995,New York,New York,United States,gemini_r1,certain,American International Group (AIG) was headquartered at 70 Pine Street in New York.
federal national mortgage association,,1996,1996,Washington,District of Columbia,United States,gemini_r1,certain,"Federal National Mortgage Association (Fannie Mae) was headquartered on Wisconsin Avenue NW in Washington, D.C."
morgan stanley dean witter discover and,,1998,1998,New York,New York,United States,gemini_r1,certain,"Morgan Stanley, Dean Witter, Discover & Co. was headquartered at 1585 Broadway in New York."
american international group,,2013,2013,New York,New York,United States,gemini_r1,certain,American International Group (AIG) was headquartered at 175 Water Street / 180 Maiden Lane in New York.
cigna,,1995,1995,Philadelphia,Pennsylvania,United States,gemini_r1,certain,"Cigna Corporation was headquartered at One Liberty Place in Philadelphia, Pennsylvania."
merrill lynch,,1995,1995,New York,New York,United States,gemini_r1,certain,Merrill Lynch & Co. was headquartered at the World Financial Center (Four World Financial Center) in NYC.
bankamerica,,1995,1995,San Francisco,California,United States,gemini_r1,certain,BankAmerica Corp. (Bank of America) was headquartered at 555 California Street in San Francisco until 1998 NationsBank merger.
briggs manufacturing,,1955,1955,Detroit,Michigan,United States,gemini_r1,certain,"Briggs Manufacturing Company (auto body / plumbing fixtures) was headquartered in Detroit, Michigan."
morg,,1996,1996,New York,New York,United States,gemini_r1,certain,J.P. Morgan & Co. Incorporated (ticker/shorthand morg) was headquartered at 60 Wall Street in New York.
chemical banking,,1996,1996,New York,New York,United States,gemini_r1,certain,Chemical Banking Corporation was headquartered at 277 Park Avenue in New York.
studebaker,,1955,1967,South Bend,Indiana,United States,gemini_r1,certain,"Studebaker (Studebaker-Packard) was headquartered in South Bend, Indiana until merging with Worthington in 1967."
may dept stores,,1995,1995,St. Louis,Missouri,United States,gemini_r1,certain,"The May Department Stores Company was headquartered at 611 Olive Street in St. Louis, Missouri."
college retirement equities fund,,1996,1997,New York,New York,United States,gemini_r1,certain,"College Retirement Equities Fund (CREF, part of TIAA-CREF) was headquartered at 730 Third Avenue in NYC."
j p morgan,,1995,1995,New York,New York,United States,gemini_r1,certain,J.P. Morgan & Co. Incorporated was headquartered at 60 Wall Street in New York.
u s west,,1996,2000,Denver,Colorado,United States,gemini_r1,certain,"US WEST, Inc. was headquartered at 1801 California Street in Denver, Colorado until acquired by Qwest in 2000."
mci,,2005,2005,Ashburn,Virginia,United States,gemini_r1,certain,"MCI, Inc. (emerged from WorldCom Chapter 11) was headquartered in Ashburn, VA until acquired by Verizon in 2006."
aetna life and casualty,,1996,1996,Hartford,Connecticut,United States,gemini_r1,certain,"Aetna Life and Casualty Company was headquartered at 151 Farmington Avenue in Hartford, Connecticut."
warner communications,,1972,1989,New York,New York,United States,gemini_r1,certain,Warner Communications Inc. was headquartered at 75 Rockefeller Plaza in NYC until merging with Time Inc. in 1989-1990.
fdx,,1998,1999,Memphis,Tennessee,United States,gemini_r1,certain,"FDX Corporation (holding company formed in 1998, renamed FedEx Corporation in 2000) was based in Memphis, TN."
amstar,,1955,1990,New York,New York,United States,gemini_r1,certain,American Sugar Refining Co. (renamed Amstar in 1970) was headquartered at 120 Wall St and 1251 Ave of the Americas in NYC.
coca cola enterprises,,1988,1995,Atlanta,Georgia,United States,gemini_r1,certain,"Coca-Cola Enterprises Inc. (anchor bottler spun off in 1986) was headquartered at One Coca-Cola Plaza in Atlanta, GA."
columbia hca healthcare,,1995,1995,Nashville,Tennessee,United States,gemini_r1,certain,"Columbia/HCA Healthcare Corporation was headquartered at One Park Plaza in Nashville, Tennessee."
gillette,,1955,2005,Boston,Massachusetts,United States,gemini_r1,certain,"The Gillette Company was continuously headquartered at Prudential Tower / Gillette Park in Boston, MA until P&G acquisition."
kerr mcgee,,1958,2006,Oklahoma City,Oklahoma,United States,gemini_r1,certain,Kerr-McGee Corporation was continuously headquartered at Kerr-McGee Center in Oklahoma City until acquired by Anadarko in 2006.
may department stores,,1996,2005,St. Louis,Missouri,United States,gemini_r1,certain,The May Department Stores Company was headquartered at 611 Olive Street in St. Louis until acquired by Federated/Macy's in 2005.
itt hartford group,,1996,1997,Hartford,Connecticut,United States,gemini_r1,certain,"ITT Hartford Group, Inc. (spun off from ITT, renamed The Hartford in 1997) was headquartered at Hartford Plaza in Hartford, CT."
